code,vol,price
600004.SS,100,9.37
301236.SZ,100,47.89
301029.SZ,100,22.52
300888.SZ,100,37.52
300866.SZ,100,80.52
300861.SZ,100,31.81
300850.SZ,100,29.46
300776.SZ,100,57.09
300748.SZ,100,18.47
300724.SZ,100,70.05
300699.SZ,100,25.56
300682.SZ,100,13.93
300677.SZ,100,23.0
300676.SZ,100,43.85
300604.SZ,100,34.53
300601.SZ,100,24.93
300595.SZ,100,20.51
300568.SZ,100,14.1
300558.SZ,100,46.83
300529.SZ,100,19.77
300502.SZ,100,44.85
300487.SZ,100,48.61
300474.SZ,100,62.85
300438.SZ,100,28.09
300418.SZ,100,33.98
300395.SZ,100,30.67
300394.SZ,100,83.69
300390.SZ,100,24.92
300383.SZ,100,9.0
300373.SZ,100,36.87
300363.SZ,100,22.82
300357.SZ,100,25.72
300296.SZ,100,5.34
300285.SZ,100,20.14
300257.SZ,100,15.12
300253.SZ,100,6.3
300251.SZ,100,8.37
300244.SZ,100,22.27
300212.SZ,100,26.04
300207.SZ,100,13.75
300146.SZ,100,16.17
300144.SZ,100,9.96
300136.SZ,100,20.72
300118.SZ,100,16.9
300114.SZ,100,41.1
300088.SZ,100,5.81
300073.SZ,100,38.23
300070.SZ,100,4.97
300058.SZ,100,6.56
300037.SZ,100,46.81
300026.SZ,100,4.12
300024.SZ,100,10.87
300017.SZ,100,8.2
300012.SZ,100,12.99
300009.SZ,100,9.67
300003.SZ,100,14.72
300001.SZ,100,20.33
003035.SZ,100,5.05
003031.SZ,100,71.89
003022.SZ,100,19.34
002966.SZ,100,6.76
002958.SZ,100,2.68
002945.SZ,100,14.79
002939.SZ,100,7.49
002936.SZ,100,2.02
002926.SZ,100,7.37
002925.SZ,100,17.03
002867.SZ,100,16.41
002865.SZ,100,76.22
002850.SZ,100,80.51
002831.SZ,100,26.52
002797.SZ,100,5.5
002791.SZ,100,38.54
002761.SZ,100,9.66
002756.SZ,100,55.38
002739.SZ,100,12.66
002738.SZ,100,39.3
002690.SZ,100,17.51
002683.SZ,100,18.47
002673.SZ,100,6.04
002670.SZ,100,9.34
002653.SZ,100,23.19
002625.SZ,100,13.72
002624.SZ,100,11.01
002608.SZ,100,7.07
002607.SZ,100,3.92
002600.SZ,100,5.53
002595.SZ,100,28.55
002572.SZ,100,15.31
002568.SZ,100,23.34
002563.SZ,100,5.93
002558.SZ,100,10.63
002557.SZ,100,34.08
002532.SZ,100,5.83
002531.SZ,100,10.29
002518.SZ,100,26.44
002517.SZ,100,10.21
002511.SZ,100,9.4
002508.SZ,100,21.59
002507.SZ,100,13.91
002506.SZ,100,2.69
002505.SZ,100,1.52
002500.SZ,100,5.18
002497.SZ,100,12.55
002487.SZ,100,24.17
002472.SZ,100,24.37
002468.SZ,100,7.59
002465.SZ,100,11.73
002463.SZ,100,20.22
